ENSG00000113615,1.28548407,8.09E-63
ENSG00000226479,1.925901381,8.46E-63
ENSG00000110047,6.464926513,2.52E-62
ENSG00000268734,3.509213311,2.52E-62
ENSG00000155307,3.721882727,2.79E-62
ENSG00000257027,2.926103114,3.67E-62
ENSG00000162302,-2.252373636,4.88E-62
ENSG00000141380,1.075414727,5.75E-62
ENSG00000163755,-2.723445753,1.09E-61
ENSG00000102445,4.181371406,1.13E-61
ENSG00000137216,1.911229629,2.23E-61
ENSG00000168282,1.449088065,2.60E-61
ENSG00000154813,1.450362482,3.35E-61
ENSG00000101310,1.097201933,7.74E-61
ENSG00000178764,3.476354394,8.24E-61
ENSG00000178860,3.778396676,8.24E-61
ENSG00000134602,4.093709085,9.11E-61
ENSG00000072736,-2.191628426,9.64E-61
ENSG00000136048,3.752344145,2.11E-60
ENSG00000172939,1.27077024,2.42E-60
ENSG00000168685,7.105250495,3.66E-60
ENSG00000080503,-2.282173621,4.82E-60
ENSG00000164548,1.91245026,6.36E-60
ENSG00000058262,1.114073203,7.00E-60
ENSG00000075420,2.969594121,1.94E-59
ENSG00000109756,4.089587832,4.92E-59
ENSG00000080371,1.680674776,5.37E-59
ENSG00000162889,2.033377612,6.72E-59
ENSG00000127314,2.101370505,8.61E-59
ENSG00000078804,3.859418107,9.82E-59
ENSG00000158470,2.813230017,1.36E-58
ENSG00000103066,-3.83653082,1.46E-58
ENSG00000117228,6.611461715,1.95E-58
ENSG00000139668,-2.297212468,3.29E-58
ENSG00000148926,4.0659983,3.61E-58
ENSG00000242247,1.761679096,6.43E-58
ENSG00000184988,2.243072799,8.84E-58
ENSG00000083799,2.034297831,1.62E-57
ENSG00000115009,11.218272,3.07E-57
ENSG00000137462,2.896072534,3.24E-57
ENSG00000135823,-1.660115481,3.95E-57
ENSG00000162433,4.996413338,4.99E-57
ENSG00000118257,2.182909467,5.19E-57
ENSG00000196878,4.533579871,5.56E-57
ENSG00000173020,-2.063370307,5.65E-57
ENSG00000106701,3.166772721,6.81E-57
ENSG00000158615,2.819044662,1.70E-56
ENSG00000086062,2.553227962,1.84E-56
ENSG00000071127,1.242372141,2.43E-56
ENSG00000119139,2.90805171,2.78E-56
ENSG00000149289,2.746928245,3.15E-56
ENSG00000137752,2.448561271,3.21E-56
ENSG00000100647,2.037708933,4.22E-56
ENSG00000136758,1.128112923,9.16E-56
ENSG00000182541,4.838188994,1.27E-55
ENSG00000101166,1.25592663,1.62E-55
ENSG00000186260,-2.548835786,1.95E-55
ENSG00000130511,-3.065867709,4.83E-55
ENSG00000142197,-3.484604765,5.58E-55
ENSG00000165732,2.861352441,7.17E-55
ENSG00000197142,2.899179813,1.59E-54
ENSG00000188786,3.542093086,1.72E-54
ENSG00000069424,-3.138604444,1.82E-54
ENSG00000135241,1.395100346,2.04E-54
ENSG00000277443,3.559822338,3.11E-54
ENSG00000198728,-2.2155039,4.25E-54
ENSG00000146112,1.729952053,5.46E-54
ENSG00000143891,-3.078342742,6.20E-54
ENSG00000069956,1.820458005,7.72E-54
ENSG00000104312,2.967980352,1.11E-53
ENSG00000174405,1.633623721,1.57E-53
ENSG00000134061,-4.46420176,4.03E-53
ENSG00000128973,-1.86566887,5.13E-53
ENSG00000139597,2.356365079,5.26E-53
ENSG00000164332,1.310747965,5.62E-53
ENSG00000105771,2.265612773,8.24E-53
ENSG00000102580,2.420868484,8.41E-53
ENSG00000139496,1.51752341,1.19E-52
ENSG00000198246,-3.033217027,1.29E-52
ENSG00000134955,-3.127177733,1.83E-52
ENSG00000115325,-2.207005135,2.42E-52
ENSG00000245848,-2.802455804,5.44E-52
ENSG00000169032,1.098827732,6.79E-52
ENSG00000260997,3.962009978,1.04E-51
ENSG00000167703,1.567110949,1.14E-51
ENSG00000145569,-3.819310953,1.27E-51
ENSG00000197329,3.601172101,2.41E-51
ENSG00000101079,-2.225193523,2.99E-51
ENSG00000100060,-2.522386166,3.05E-51
ENSG00000138172,-2.195284081,3.43E-51
ENSG00000164048,-3.784632872,3.53E-51
ENSG00000075618,4.61981115,3.55E-51
ENSG00000071073,-2.913278453,5.63E-51
ENSG00000134830,-2.607657818,5.68E-51
ENSG00000215301,1.278392003,8.35E-51
ENSG00000125347,2.275272889,8.76E-51
ENSG00000121797,1.891536465,1.01E-50
ENSG00000147872,-1.75490657,1.31E-50
ENSG00000226137,-4.715042924,1.31E-50
ENSG00000205730,1.622143307,2.13E-50
ENSG00000132003,3.444223894,2.40E-50
ENSG00000101336,2.35285565,2.77E-50
ENSG00000035403,-1.983276022,2.91E-50
ENSG00000198355,3.436366942,3.29E-50
ENSG00000169504,3.077602126,5.28E-50
ENSG00000177239,-1.967120369,5.61E-50
ENSG00000184992,-4.381444418,6.25E-50
ENSG00000140995,-1.815505507,6.43E-50
ENSG00000127947,1.853525607,7.51E-50
ENSG00000002834,-1.635686513,9.59E-50
ENSG00000134460,7.468521752,1.07E-49
ENSG00000136560,1.641553034,1.14E-49
ENSG00000165801,-2.822100716,1.24E-49
ENSG00000166920,4.152497939,1.86E-49
ENSG00000168268,-2.622906,2.21E-49
ENSG00000117758,1.420811527,2.52E-49
ENSG00000185338,6.776015659,2.68E-49
