,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC
ENSG00000160307,18.0813042903094,2.9096486550679,0.717232840323883,4.05676997968189,4.97560405275932e-05,0.000194717261107984,2.9096486550679,7.51435177260167
ENSG00000160325,35.890277548761,1.83414503185808,0.266316750909623,6.88708098755874,5.69488048689267e-12,7.42968049942106e-11,1.83414503185808,3.56560040975967
ENSG00000160326,2452.60519314304,-1.09820481280547,0.216360798063686,-5.07580311513834,3.85862685730758e-07,2.29041690947586e-06,1.09820481280547,-2.14088130639137
ENSG00000160360,38.5399975245106,-1.27354591291648,0.364190430371261,-3.49692305648506,0.000470657562014858,0.00148582478092271,1.27354591291648,-2.41755030992268
ENSG00000160410,1358.4342622045,1.05286108939072,0.100114164112832,10.5166047054452,7.24370288887799e-26,5.06469598497946e-24,1.05286108939072,2.07464010575998
ENSG00000160460,9.69602330371432,-2.02479456446574,0.831748228949875,-2.43438398062133,0.0149171611531449,0.0312152044593216,2.02479456446574,-4.0693392651989
ENSG00000160584,759.076214008462,-1.17355461066182,0.177444250275794,-6.61365250684545,3.74951328588815e-11,4.32741331824289e-10,1.17355461066182,-2.25566779682674
ENSG00000160685,583.085611224802,2.25050624706079,0.235944823950399,9.53827343775043,1.45229965371137e-21,6.56592317125298e-20,2.25050624706079,4.75849794172302
ENSG00000160710,5299.24808910042,-1.57145142198867,0.250843420631146,-6.26467067796617,3.73614142359167e-10,3.71329229422425e-09,1.57145142198867,-2.97203565138327
ENSG00000160746,301.744974916754,1.25096354957077,0.135261590024083,9.24847585591771,2.27716486916775e-20,9.12839490553714e-19,1.25096354957077,2.38000325985219
ENSG00000160791,5532.75451159808,-1.11257083727769,0.177619420109353,-6.26379050552427,3.75730181119155e-10,3.73123424115588e-09,1.11257083727769,-2.16230620372228
ENSG00000160796,302.757623187713,1.07612787284781,0.181105178544028,5.94200498019548,2.81556863987596e-09,2.4220335095242e-08,1.07612787284781,2.10836971302522
ENSG00000160818,157.553513533654,-1.44316305548579,0.309428032602301,-4.66396998148078,3.10166646333199e-06,1.55354605947649e-05,1.44316305548579,-2.71916379028208
ENSG00000160883,584.890056079364,1.13955645564654,0.260444725243804,4.37542535975645,1.21195908863361e-05,5.42427242274201e-05,1.13955645564654,2.20313279313178
ENSG00000160886,69.72708801176,-3.00462346986862,0.500969104531521,-5.99762229385061,2.00227567371275e-09,1.76147529276295e-08,3.00462346986862,-8.02567908631595
ENSG00000160932,658.868284860189,-2.83328239146836,0.638945436503128,-4.43431039585254,9.23674684045162e-06,4.26415038400273e-05,2.83328239146836,-7.12693808699862
