Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC
ENSG00000064989,41.87837203,1.260541173,0.501949243,2.511292107,0.012029011,0.025114738,1.260541173,2.395855956
ENSG00000065057,9.144137625,-1.42581734,0.433661073,-3.287861021,0.001009517,0.002767369,1.42581734,-2.68666667
ENSG00000065308,207.2327346,-1.935398407,0.243154433,-7.959543983,1.73E-15,2.24E-14,1.935398407,-3.824837372
ENSG00000065600,592.054903,1.308053973,0.172249456,7.593951246,3.10E-14,3.59E-13,1.308053973,2.476073212
ENSG00000065833,713.5149053,-1.006282018,0.255726276,-3.934996569,8.32E-05,0.000285542,1.006282018,-2.008727714
ENSG00000065911,4399.422599,1.321215576,0.095249273,13.87113554,9.48E-44,7.97E-42,1.321215576,2.498765604
ENSG00000066294,4601.222621,-1.512434886,0.334120234,-4.526618653,5.99E-06,2.49E-05,1.512434886,-2.852911287
ENSG00000066697,1200.442231,4.181993655,0.205731857,20.32739949,7.36E-92,3.05E-89,4.181993655,18.15120793
ENSG00000066926,294.3296178,-1.539020658,0.18499355,-8.319320623,8.85E-17,1.27E-15,1.539020658,-2.905971711
ENSG00000067113,22.78217387,1.331336923,0.417592948,3.188121178,0.001432005,0.003796581,1.331336923,2.516357537
ENSG00000067334,1529.926172,1.372602673,0.128950986,10.64437515,1.85E-26,5.45E-25,1.372602673,2.58937277
ENSG00000067992,81.34321327,-2.041200447,0.292713662,-6.973369233,3.09E-12,2.84E-11,2.041200447,-4.11587865
ENSG00000068024,153.7440334,-1.177424357,0.175584424,-6.705744915,2.00E-11,1.69E-10,1.177424357,-2.261726304
ENSG00000068366,6385.22411,1.627953402,0.098320147,16.55767867,1.41E-61,2.46E-59,1.627953402,3.090742368
ENSG00000068724,565.5289845,-1.643384328,0.127358086,-12.9036513,4.29E-38,2.66E-36,1.643384328,-3.123978073
ENSG00000068831,16.81744818,-1.349096559,0.380662867,-3.544071865,0.000393998,0.001179541,1.349096559,-2.547525449
ENSG00000069399,1050.342138,2.458649467,0.202129908,12.16370945,4.85E-34,2.38E-32,2.458649467,5.497019003
ENSG00000069424,2135.74083,-1.640603971,0.197079661,-8.324572712,8.46E-17,1.21E-15,1.640603971,-3.117963352
ENSG00000069482,28.37492239,2.18787978,0.690625224,3.167969694,0.001535075,0.004041334,2.18787978,4.556353811
ENSG00000069493,267.9559151,2.427692577,0.246696526,9.84080569,7.51E-23,1.76E-21,2.427692577,5.380322223
ENSG00000069956,4192.612165,1.118899009,0.116102801,9.637140568,5.57E-22,1.22E-20,1.118899009,2.171811677
ENSG00000070495,357.2379633,1.057557141,0.168905501,6.26123561,3.82E-10,2.77E-09,1.057557141,2.081404176
ENSG00000070501,71.74214439,-1.285251019,0.236217366,-5.440967538,5.30E-08,3.03E-07,1.285251019,-2.437244554
ENSG00000070759,165.5647659,-3.52026233,0.295220677,-11.92417267,8.86E-33,3.93E-31,3.52026233,-11.4737281
ENSG00000070882,244.1924551,-2.141416761,0.27390655,-7.81805605,5.36E-15,6.59E-14,2.141416761,-4.411950977
ENSG00000070961,6545.10692,1.545821236,0.197073704,7.843873678,4.37E-15,5.43E-14,1.545821236,2.919702219
ENSG00000071073,1738.14695,-1.967882035,0.189145995,-10.40403755,2.38E-25,6.54E-24,1.967882035,-3.911934014
ENSG00000071242,850.3316969,-3.108751399,0.176115006,-17.65182571,9.85E-70,1.97E-67,3.108751399,-8.626356855
ENSG00000071246,516.0579404,-1.277740491,0.236807357,-5.395695924,6.83E-08,3.84E-07,1.277740491,-2.424589468
ENSG00000071575,44.90471356,1.92713205,0.558809284,3.448640001,0.000563417,0.001631098,1.92713205,3.802984475
ENSG00000071794,60.20728367,-1.482500433,0.200667812,-7.387833748,1.49E-13,1.61E-12,1.482500433,-2.794326176
ENSG00000071967,605.0018276,-2.600272656,0.324684449,-8.008614721,1.16E-15,1.53E-14,2.600272656,-6.064012201
ENSG00000072071,18.4085797,-1.140678578,0.348690839,-3.271317885,0.001070475,0.002913223,1.140678578,-2.204847047
ENSG00000072121,1071.908773,-1.216152349,0.17147734,-7.092204427,1.32E-12,1.27E-11,1.216152349,-2.323262788
ENSG00000072134,12.43441753,-1.622264578,0.487064607,-3.330696906,0.000866289,0.002411013,1.622264578,-3.078578974
ENSG00000072210,1572.466754,-1.757802304,0.18174612,-9.671745956,3.98E-22,8.77E-21,1.757802304,-3.381825699
ENSG00000072401,962.0041429,1.501576626,0.169821271,8.842099815,9.39E-19,1.58E-17,1.501576626,2.831519816
ENSG00000072422,15.89145302,-3.373770636,0.516303078,-6.534477088,6.38E-11,5.05E-10,3.373770636,-10.36587959
ENSG00000072682,138.6766257,1.702212959,0.286212349,5.94737775,2.72E-09,1.81E-08,1.702212959,3.253997086
ENSG00000072736,517.4191555,-1.062706546,0.125660484,-8.456966849,2.74E-17,4.12E-16,1.062706546,-2.088846597
ENSG00000072840,36.56527665,1.620966756,0.52821495,3.068763494,0.002149467,0.005476586,1.620966756,3.075810786
ENSG00000072858,20.00376377,-1.642486546,0.604596172,-2.716667126,0.006594289,0.014803607,1.642486546,-3.122034643
ENSG00000073008,525.1964722,2.112536873,0.214608168,9.843692791,7.30E-23,1.72E-21,2.112536873,4.324510599
ENSG00000073060,326.655884,-3.494625346,0.252470929,-13.841694,1.43E-43,1.17E-41,3.494625346,-11.27163852
ENSG00000073150,41.26234113,2.836973815,0.3478355,8.156078985,3.46E-16,4.75E-15,2.836973815,7.145197134
ENSG00000073464,77.40752553,-2.78636373,0.530647591,-5.250874171,1.51E-07,8.12E-07,2.78636373,-6.898887479
ENSG00000073712,124.4067341,3.466310522,0.588875332,5.886323188,3.95E-09,2.58E-08,3.466310522,11.05257425
ENSG00000073737,601.5940872,-5.507930011,0.497397377,-11.07350032,1.69E-28,5.81E-27,5.507930011,-45.50426954
ENSG00000073756,14196.40708,6.676256765,0.665732506,10.0284374,1.14E-23,2.85E-22,6.676256765,102.2712455
ENSG00000073849,445.6983595,-1.529634816,0.209886403,-7.287917628,3.15E-13,3.25E-12,1.529634816,-2.887127491
ENSG00000074410,643.0970195,10.7339201,0.721398855,14.87931402,4.49E-50,4.74E-48,10.7339201,1703.067735
ENSG00000074657,74.89448862,-1.356661873,0.231883603,-5.850615809,4.90E-09,3.16E-08,1.356661873,-2.560919446
ENSG00000074660,276.8612722,3.796627384,0.53200013,7.136515894,9.57E-13,9.41E-12,3.796627384,13.8962854
ENSG00000074706,25.9993683,-2.296403801,0.496556925,-4.624653664,3.75E-06,1.61E-05,2.296403801,-4.912317468
ENSG00000074935,80.93782422,1.541343136,0.232175025,6.638712038,3.16E-11,2.61E-10,1.541343136,2.910653566
ENSG00000074966,14.00781139,-1.404869504,0.460689649,-3.049492227,0.002292286,0.005798702,1.404869504,-2.647938296
ENSG00000075213,27.46199941,2.794793602,0.427086079,6.543864907,5.99E-11,4.78E-10,2.794793602,6.939316661
ENSG00000075240,801.53877,-3.26212668,0.102923172,-31.694774,1.83E-220,4.41E-217,3.26212668,-9.593961696
ENSG00000075275,321.0683948,-1.457516019,0.152931892,-9.530490978,1.57E-21,3.29E-20,1.457516019,-2.746350993
ENSG00000075399,53.35834212,1.099965523,0.313779212,3.505539823,0.000455682,0.001346115,1.099965523,2.1434957
ENSG00000075420,4890.447213,1.719531438,0.180069579,9.549261158,1.31E-21,2.78E-20,1.719531438,3.293294292
ENSG00000075426,3085.018453,2.003607025,0.233408581,8.584118956,9.15E-18,1.43E-16,2.003607025,4.010013309
ENSG00000075618,985.7192585,3.885034927,0.302159615,12.85755848,7.80E-38,4.71E-36,3.885034927,14.77447465
ENSG00000075651,1528.821578,2.000360918,0.266944033,7.493559207,6.70E-14,7.46E-13,2.000360918,4.001000801
